name,link
"A fib, also known as
Atrial fibrillation",https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624
Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688
"Abnormally excessive sweating, also known as
Hyperhidrosis",https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152
"Abscess, Bartholin's, also known as
Bartholin's cyst",https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976
Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683
Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983
Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850
Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020
Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234
"Acid reflux, also known as
Gastroesophageal reflux disease (GERD)",https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940
"Acid reflux, infant, also known as
Infant reflux",https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408
ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
"Acne inversa, also known as
Hidradenitis suppurativa",https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306
Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127
"Acquired immunodeficiency syndrome, also known as
HIV/AIDS",https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524
Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222
Actinic keratosis,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969
Acute coronary syndrome,https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136
"Acute febrile neutrophilic dermatosis, also known as
Sweet's syndrome",https://www.mayoclinic.org/diseases-conditions/sweets-syndrome/symptoms-causes/syc-20351117
Acute flaccid myelitis (AFM),https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046
"Acute granulocytic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
"Acute inflammatory demyelinating polyneuropathy, also known as
Guillain-Barre syndrome",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793
Acute kidney failure,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
Acute liver failure,https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863
"Acute lymphoblastic leukemia, also known as
Acute lymphocytic leukemia",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
"Acute lymphoid leukemia, also known as
Acute lymphocytic leukemia",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
"Acute myeloblastic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
"Acute myeloid lukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
"Acute nonlymphocytic leukemia, also known as
Acute myelogenous leukemia",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
"Acute radiation sickness, also known as
Radiation sickness",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058
"Acute radiation syndrome, also known as
Radiation sickness",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058
"Acute renal failure, also known as
Acute kidney failure",https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
"Acute respiratory distress syndrome, also known as
ARDS",https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
Acute sinusitis,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671
"Addiction, alcohol, also known as
Alcohol use disorder",https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
