,disease,link,overview,symptoms,remedies
0,Tennis elbow,https://www.mayoclinic.org/diseases-conditions/tennis-elbow/symptoms-causes/syc-20351987,"Tennis elbow (lateral epicondylitis) is a painful condition that occurs when tendons in your elbow are overloaded, usually by repetitive motions of the wrist and arm.","['Shake hands or grip an object', 'Turn a doorknob', 'Hold a coffee cup']","['Rest. Avoid activities that aggravate your elbow pain.', 'Pain relievers. Try over-the-counter pain relievers, such as ibuprofen (Advil, Motrin IB) or naproxen (Aleve).', 'Ice. Apply ice or a cold pack for 15 minutes three to four times a day.', 'Technique. Make sure that you are using proper technique for your activities and avoiding repetitive wrist motions.']"
1,"Tenosynovitis, de Quervain's, also known as
De Quervain tenosynovitis",https://www.mayoclinic.org/diseases-conditions/de-quervain-tenosynovitis/symptoms-causes/syc-20371332,"De Quervain tenosynovitis (dih-kwer-VAIN ten-oh-sine-oh-VIE-tis) is a painful condition affecting the tendons on the thumb side of the wrist. If you have de Quervain tenosynovitis, you will probably feel pain when you turn your wrist, grasp anything or make a fist.","['Pain near the base of the thumb', 'Swelling near the base of the thumb', 'Difficulty moving the thumb and wrist when doing something that involves grasping or pinching', 'A ""sticking"" or ""stop-and-go"" sensation in the thumb when moving it']","['Avoid moving your wrists the same way repeatedly.', 'Wear a brace or splint if suggested by your health care provider.', 'Follow through with recommended exercises.', 'Note activity that causes pain, swelling or numbness in your thumb and wrist. Try to avoid this activity and share the information with your provider.']"
2,Tension headache,https://www.mayoclinic.org/diseases-conditions/tension-headache/symptoms-causes/syc-20353977,"A tension-type headache (TTH) is generally a mild to moderate pain that's often described as feeling like a tight band around the head. A tension-type headache is the most common type of headache, yet its causes aren't well understood.","['Dull, aching head pain', 'Sensation of tightness or pressure across the forehead or on the sides and back of the head', 'Tenderness in the scalp, neck and shoulder muscles']","[""Manage your stress level. One way to help reduce stress is by planning ahead and organizing your day. Another way is to allow more time to relax. And if you're caught in a stressful situation, consider stepping back."", 'Go hot or cold. Applying heat or ice — whichever you prefer — to sore muscles may ease a tension-type headache. For heat, use a heating pad set on low, a hot-water bottle, a warm compress or a hot towel. A hot bath or shower also may help. For cold, wrap ice, an ice pack or frozen vegetables in a cloth to protect your skin.', ""Perfect your posture. Good posture can help keep your muscles from tensing. When standing, hold your shoulders back and your head level. Pull in your abdomen and buttocks. When sitting, make sure your thighs are parallel to the ground and your head isn't slumped forward.""]"
3,"Testicle, retractile, also known as
Retractile testicle",https://www.mayoclinic.org/diseases-conditions/retractile-testicle/symptoms-causes/syc-20377197,"A retractile testicle is a testicle that may move back and forth between the scrotum and the groin. When the retractile testicle is residing in the groin, it might be easily guided by hand into its proper position in the scrotum — the bag of skin hanging behind the penis — during a physical exam. Upon release, the testicle will remain in the proper position at least temporarily.","[""The testicle may be moved by hand from the groin into the scrotum and won't immediately retreat to the groin."", 'The testicle might spontaneously appear in the scrotum and remain there for a time.', 'The testicle might spontaneously disappear again for a time.']",[]
4,"Testicle, undescended, also known as
Undescended testicle",https://www.mayoclinic.org/diseases-conditions/undescended-testicle/symptoms-causes/syc-20351995,"An undescended testicle (cryptorchidism) is a testicle that hasn't moved into its proper position in the bag of skin hanging below the penis (scrotum) before birth. Usually just one testicle is affected, but about 10 percent of the time both testicles are undescended.","['A retractile testicle, which moves back and forth between the scrotum and the groin and might be easily guided by hand into the scrotum during a physical exam. This is not abnormal and is due to a muscle reflex in the scrotum.', 'An ascending testicle, or acquired undescended testicle, that has ""returned"" to the groin and can\'t be easily guided by hand into the scrotum.']","['Teach your son the right words to use when talking about the scrotum and testicles.', ""Explain that there are usually two testicles in the scrotum. If he's missing one or both, explain what that means and that he's still a healthy boy."", ""Remind him that he's not ill or in danger of illness."", 'Talk to him about whether a testicular prosthesis is a good option for him.', ""Help him practice a response if he's teased or asked about the condition."", 'Buy him loosefitting boxer shorts and swim trunks that might make the condition less noticeable when changing clothes and playing sports.', ""Be aware of signs of worry or embarrassment, such as not participating in sports that he'd normally enjoy.""]"
5,Testicular cancer,https://www.mayoclinic.org/diseases-conditions/testicular-cancer-care/symptoms-causes/syc-20352986,"Testicular cancer occurs in the testicles (testes), which are located inside the scrotum, a loose bag of skin underneath the penis. The testicles produce male sex hormones and sperm for reproduction.","['A lump or enlargement in either testicle', 'A feeling of heaviness in the scrotum', 'A dull ache in the abdomen or groin', 'A sudden collection of fluid in the scrotum', 'Pain or discomfort in a testicle or the scrotum', 'Enlargement or tenderness of the breasts', 'Back pain']",[]
6,Testicular torsion,https://www.mayoclinic.org/diseases-conditions/testicular-torsion/symptoms-causes/syc-20378270,"Testicular torsion occurs when a testicle rotates, twisting the spermatic cord that brings blood to the scrotum. The reduced blood flow causes sudden and often severe pain and swelling.","['Sudden, severe pain in the scrotum — the loose bag of skin under your penis that contains the testicles', 'Swelling of the scrotum', 'Abdominal pain', 'Nausea and vomiting', ""A testicle that's positioned higher than normal or at an unusual angle"", 'Frequent urination', 'Fever']",[]
7,"Testosterone deficiency, also known as
Male hypogonadism",https://www.mayoclinic.org/diseases-conditions/male-hypogonadism/symptoms-causes/syc-20354881,Male hypogonadism is a condition in which the body doesn't produce enough of the hormone that plays a key role in masculine growth and development during puberty (testosterone) or enough sperm or both.,"['Female genitals', 'Genitals that are neither clearly male nor clearly female (ambiguous genitals)', 'Underdeveloped male genitals']",[]
8,Tetanus,https://www.mayoclinic.org/diseases-conditions/tetanus/symptoms-causes/syc-20351625,"Tetanus is a serious disease of the nervous system caused by a toxin-producing bacterium. The disease causes muscle contractions, particularly of your jaw and neck muscles. Tetanus is commonly known as lockjaw.","['Painful muscle spasms and stiff, immovable muscles (muscle rigidity) in your jaw', 'Tension of muscles around your lips, sometimes producing a persistent grin', 'Painful spasms and rigidity in your neck muscles', 'Difficulty swallowing', 'Rigid abdominal muscles']","['Control bleeding. Apply direct pressure to stop bleeding.', 'Clean the wound. After the bleeding stops, rinse the wound with a saline solution, bottled water or clear running water.', 'Use antibiotics. Apply a thin layer of an antibiotic cream or ointment to discourage bacterial growth and infection.', 'Cover the wound. Bandages can keep the wound clean and keep harmful bacteria out. Keep the wound covered until a scab forms. If you cannot clean the wound thoroughly, do not cover it and instead seek medical care.', 'Change the dressing. Rinse the wound, apply antibiotic ointment, and replace the bandage at least once a day or whenever the dressing becomes wet or dirty.', ""Manage adverse reactions. If the antibiotic causes a rash, stop using it. If you're allergic to the adhesive used in most bandages, switch to adhesive-free dressings or sterile gauze and paper tape.""]"
9,Tetralogy of Fallot,https://www.mayoclinic.org/diseases-conditions/tetralogy-of-fallot/symptoms-causes/syc-20353477,Tetralogy of Fallot (teh-TRAL-uh-jee of fuh-LOW) is a rare condition caused by a combination of four heart defects that are present at birth (congenital).,"['A bluish coloration of the skin caused by low blood oxygen levels (cyanosis)', 'Shortness of breath and rapid breathing, especially during feeding or exercise', 'Poor weight gain', 'Tiring easily during play or exercise', 'Irritability', 'Prolonged crying', 'Heart murmur', 'Fainting', 'An abnormal, rounded shape of the nail bed in the fingers and toes (clubbing)']","[""Preventing infection. A child, adolescent or adult who has severe heart defects might need to take preventive antibiotics before certain dental procedures and surgeries. Your or your child's doctor can tell you if this is necessary. Maintaining good oral hygiene and getting regular dental checkups are important ways to help prevent infection."", ""Limiting certain types of exercise. The doctor might recommend that you or your child limit strenuous physical activity, particularly if there are heart rhythm problems (arrhythmias) or leakage or blockage of the pulmonary valve. Decisions about exercise need to be made on an individual basis. Talk to your or your child's doctor about which activities are safe.""]"
