,disease,link,overview,symptoms,remedies
0,"A fib, also known as
Atrial fibrillation",https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,"Atrial fibrillation (A-fib) is an irregular and often very rapid heart rhythm (arrhythmia) that can lead to blood clots in the heart. A-fib increases the risk of stroke, heart failure and other heart-related complications.","['Sensations of a fast, fluttering or pounding heartbeat (palpitations)', 'Chest pain', 'Dizziness', 'Fatigue', 'Lightheadedness', 'Reduced ability to exercise', 'Shortness of breath', 'Weakness']","[""Eating heart-healthy foods. Eat a healthy diet that's low in salt and solid fats and rich in fruits, vegetables and whole grains."", 'Exercising regularly. Exercise daily and increase physical activity.', ""Quitting smoking. If you smoke and can't quit on your own, talk to your doctor about strategies or programs to help you break a smoking habit."", 'Maintaining a healthy weight. Being overweight increases your risk of developing heart disease. Healthy weight loss can help to manage symptoms of atrial fibrillation and may improve the results of catheter ablation.', 'Keeping blood pressure and cholesterol levels under control. Make lifestyle changes and take medications as prescribed to correct high blood pressure (hypertension) or high cholesterol.', 'Limiting alcohol. Binge drinking (having five drinks in two hours for men or four drinks for women) can increase the chances of atrial fibrillation. In some people, even modest amounts of alcohol can trigger atrial fibrillation.', 'Getting follow-up care. Take your medications as prescribed and have regular follow-up appointments with your doctor. Tell your doctor if your symptoms worsen.']"
1,Abdominal aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688,An abdominal aortic aneurysm is an enlarged area in the lower part of the major vessel that supplies blood to the body (aorta). The aorta runs from the heart through the center of the chest and abdomen.,"['Deep, constant pain in the belly area or side of the belly (abdomen)', 'Back pain', 'A pulse near the bellybutton']","['Your symptoms, including any that may seem unrelated to an abdominal aortic aneurysm, and when they began', 'Key personal information, including a family history of heart disease or aneurysms', 'All medications, vitamins or other supplements you take, including how much you take and when', 'Questions to ask your doctor']"
2,"Abnormally excessive sweating, also known as
Hyperhidrosis",https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,Hyperhidrosis (hi-pur-hi-DROE-sis) is excessive sweating that's not always related to heat or exercise. You may sweat so much that it soaks through your clothes or drips off your hands. Heavy sweating can disrupt your day and cause social anxiety and embarrassment.,"['Sweating disrupts your daily routine', 'Sweating causes emotional distress or social withdrawal', 'You suddenly begin to sweat more than usual', 'You experience night sweats for no apparent reason']","['Use antiperspirant. Antiperspirants containing 6% to 20% aluminum chloride (Drysol, Xerac AC, others) can temporarily block sweat pores. This reduces the amount of sweat that reaches the skin. This type of product may help with minor hyperhidrosis. Apply it to dry skin before going to bed and wash it off when you wake.', ""Choose shoes and socks made of natural materials. Shoes made of natural materials, such as leather, allow your feet to breath, which helps prevent sweaty feet. Wear moisture-wicking athletic socks when you're active. In the store, you can tell which socks are moisture wicking by reading the packaging."", 'Keep your feet dry. Change socks or hose one or two times a day. Dry your feet each time. If you wear pantyhose, try the type with cotton soles. Use shoe insoles and foot powder to help absorb sweat. Wear sandals or go barefoot when you can. Or at least slip out of your shoes now and then.', ""Choose clothing to suit your activity. When you can, wear natural fabrics, such as cotton, wool and silk. These allow your skin to breathe. When you're very active, you might prefer fabrics designed to wick moisture away from your skin.""]"
3,"Abscess, Bartholin's, also known as
Bartholin's cyst",https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,The Bartholin's (BAHR-toe-linz) glands are located on each side of the vaginal opening. These glands secrete fluid that helps lubricate the vagina.,"['A tender, painful lump near the vaginal opening', 'Discomfort while walking or sitting', 'Pain during intercourse', 'Fever']","['Write down your symptoms, including any that seem unrelated to your condition.', 'Make a list of any medications, vitamins or supplements that you take along with the dosages.', 'Take a notebook or notepad with you to write down information during your visit.', 'Prepare questions to ask your doctor, listing the most important questions first to be sure you cover them.']"
4,Absence seizure,https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683,"Absence seizures involve brief, sudden lapses of consciousness. They're more common in children than in adults.","['Sudden stop in motion without falling', 'Lip smacking', 'Eyelid flutters', 'Chewing motions', 'Finger rubbing', 'Small movements of both hands']","[""Take medication correctly. Don't adjust the dosage before talking to your doctor. If you feel your medication should be changed, discuss it with your doctor."", 'Get enough sleep. Lack of sleep can trigger seizures. Be sure to get adequate rest every night.', 'Wear a medical alert bracelet. This will help emergency personnel know how to treat you correctly if you have another seizure.', ""Ask your doctor about driving or recreation restrictions. Someone with a seizure disorder will have to be seizure-free for reasonable lengths of time (intervals vary from state to state) before being able to drive. Don't bathe or swim unless someone else is nearby to help if needed.""]"
5,Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"Acanthosis nigricans is a condition that causes areas of dark, thick velvety skin in body folds and creases. It typically affects the armpits, groin and neck.","['Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops.', 'Certain drugs and supplements. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans.', 'Cancer. Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver.']",[]
6,Achalasia,https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850,Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting your mouth and stomach (esophagus) into your stomach.,"['Inability to swallow (dysphagia), which may feel like food or drink is stuck in your throat', 'Regurgitating food or saliva', 'Heartburn', 'Belching', 'Chest pain that comes and goes', 'Coughing at night', 'Pneumonia (from aspiration of food into the lungs)', 'Weight loss', 'Vomiting']",[]
7,Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,"Achilles tendinitis is an overuse injury of the Achilles (uh-KILL-eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone.","['Your sex. Achilles tendinitis occurs most commonly in men.', 'Age. Achilles tendinitis is more common as you age.', 'Physical problems. A naturally flat arch in your foot can put more strain on the Achilles tendon. Obesity and tight calf muscles also can increase tendon strain.', 'Training choices. Running in worn-out shoes can increase your risk of Achilles tendinitis. Tendon pain occurs more frequently in cold weather than in warm weather, and running on hilly terrain also can predispose you to Achilles injury.', 'Medical conditions. People who have psoriasis or high blood pressure are at higher risk of developing Achilles tendinitis.', 'Medications. Certain types of antibiotics, called fluoroquinolones, have been associated with higher rates of Achilles tendinitis.']","[""Rest. You may need to avoid exercise for several days or switch to an activity that doesn't strain the Achilles tendon, such as swimming. In severe cases, you may need to wear a walking boot and use crutches."", 'Ice. To decrease pain or swelling, apply an ice pack to the tendon for about 15 minutes after exercising or when you experience pain.', 'Compression. Wraps or compressive elastic bandages can help reduce swelling and reduce movement of the tendon.', 'Elevation. Raise the affected foot above the level of your heart to reduce swelling. Sleep with your affected foot elevated at night.']"
8,Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"Achilles (uh-KILL-eez) tendon rupture is an injury that affects the back of your lower leg. It mainly occurs in people playing recreational sports, but it can happen to anyone.","['The feeling of having been kicked in the calf', 'Pain, possibly severe, and swelling near the heel', 'An inability to bend the foot downward or ""push off"" the injured leg when walking', 'An inability to stand on the toes on the injured leg', 'A popping or snapping sound when the injury occurs']",[]
9,"Acid reflux, also known as
Gastroesophageal reflux disease (GERD)",https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus.,"['A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down', 'Backwash (regurgitation) of food or sour liquid', 'Upper abdominal or chest pain', 'Trouble swallowing (dysphagia)', 'Sensation of a lump in your throat']","['Maintain a healthy weight. Excess pounds put pressure on your abdomen, pushing up your stomach and causing acid to reflux into your esophagus.', ""Stop smoking. Smoking decreases the lower esophageal sphincter's ability to function properly."", ""Elevate the head of your bed. If you regularly experience heartburn while trying to sleep, place wood or cement blocks under the feet of your bed so that the head end is raised by 6 to 9 inches. If you can't elevate your bed, you can insert a wedge between your mattress and box spring to elevate your body from the waist up. Raising your head with additional pillows isn't effective."", 'Start on your left side. When you go to bed, start by lying on your left side to help make it less likely that you will have reflux.', ""Don't lie down after a meal. Wait at least three hours after eating before lying down or going to bed."", 'Eat food slowly and chew thoroughly. Put down your fork after every bite and pick it up again once you have chewed and swallowed that bite.', 'Avoid foods and drinks that trigger reflux. Common triggers include alcohol, chocolate, caffeine, fatty foods or peppermint.', 'Avoid tight-fitting clothing. Clothes that fit tightly around your waist put pressure on your abdomen and the lower esophageal sphincter.']"
