,disease,link,overview,symptoms,remedies
0,Measles,https://www.mayoclinic.org/diseases-conditions/measles/symptoms-causes/syc-20374857,"Measles is a childhood infection caused by a virus. Once quite common, measles can now almost always be prevented with a vaccine.","['Fever', 'Dry cough', 'Runny nose', 'Sore throat', 'Inflamed eyes (conjunctivitis)', ""Tiny white spots with bluish-white centers on a red background found inside the mouth on the inner lining of the cheek — also called Koplik's spots"", 'A skin rash made up of large, flat blotches that often flow into one another']","['Take it easy. Get rest and avoid busy activities.', 'Drink plenty of fluids. Drink plenty of water, fruit juice and herbal tea to replace fluids lost by fever and sweating. If needed, you can buy rehydration solutions without a prescription. These solutions contain water and salts in specific proportions to replace both fluids and electrolytes.', 'Moisten the air. Use a humidifier to relieve a cough and sore throat. Adding moisture to the air can help ease discomfort. Choose a cool-mist humidifier and clean it daily because bacteria and molds can flourish in some humidifiers.', 'Moisten your nose. Saline nasal sprays can soothe irritation by keeping the inside of the nose moist.', 'Rest your eyes. If you or your child finds bright light irritating, as do many people with measles, keep the lights low or wear sunglasses. Also avoid reading or watching television if light from a reading lamp or from the television is bothersome.']"
1,"Measles, German, also known as
Rubella",https://www.mayoclinic.org/diseases-conditions/rubella/symptoms-causes/syc-20377310,"Rubella is a contagious viral infection best known by its distinctive red rash. It's also called German measles or three-day measles. This infection may cause mild or no symptoms in most people. However, it can cause serious problems for unborn babies whose mothers become infected during pregnancy.","['Mild fever of 102 F (38.9 C) or lower', 'Headache', 'Stuffy or runny nose', 'Red, itchy eyes', 'Enlarged, tender lymph nodes at the base of the skull, the back of the neck and behind the ears', 'A fine, pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs, before disappearing in the same order', 'Aching joints, especially in young women']","['Bed rest', 'Acetaminophen (Tylenol, others) for relief from fever and aches']"
2,"Medial epicondylitis, also known as
Golfer's elbow",https://www.mayoclinic.org/diseases-conditions/golfers-elbow/symptoms-causes/syc-20372868,Golfer's elbow is a condition that causes pain where the tendons of your forearm muscles attach to the bony bump on the inside of your elbow. The pain might spread into your forearm and wrist.,"['Pain and tenderness. Usually felt on the inner side of your elbow, the pain sometimes extends along the inner side of your forearm. Pain typically worsens with certain movements.', 'Stiffness. Your elbow may feel stiff, and making a fist might hurt.', 'Weakness. You may have weakness in your hands and wrists.', 'Numbness or tingling. These sensations might radiate into one or more fingers — usually the ring and little fingers.']",[]
3,"Medial tibial stress syndrome, also known as
Shin splints",https://www.mayoclinic.org/diseases-conditions/shin-splints/symptoms-causes/syc-20354105,"The term ""shin splints"" refers to pain along the shin bone (tibia) — the large bone in the front of your lower leg. Shin splints are common in runners, dancers and military recruits.","[""You're a runner, especially one beginning a running program"", 'You suddenly increase the duration, frequency or intensity of exercise', 'You run on uneven terrain, such as hills, or hard surfaces, such as concrete', ""You're in military training"", 'You have flat feet or high arches']",[]
4,Median arcuate ligament syndrome (MALS),https://www.mayoclinic.org/diseases-conditions/median-arcuate-ligament-syndrome-mals/symptoms-causes/syc-20505001,"Median arcuate ligament syndrome (MALS) occurs when the arc-shaped band of tissue in the chest area (median arcuate ligament) presses on, or traps, the artery that supplies blood to the organs in your upper abdomen (celiac artery).","['Pain in the upper middle stomach area, which may go away when leaning forward', 'Stomach pain after eating, exercising or shifting body position', 'Fear of eating food due to pain, leading to significant weight loss — usually greater than 20 pounds (9.1 kilograms)', 'Bloating', 'Nausea and vomiting', 'Diarrhea']","[""Be aware of any pre-appointment restrictions. When you make the appointment, be sure to ask if there's anything you need to do in advance, such as not drinking or eating anything for a few hours. You may need to do this if your doctor orders blood or imaging tests."", 'Write down all your symptoms, including any that may seem unrelated to median arcuate ligament syndrome.', 'Write down key personal information, including any family history of heart disease, stroke, high blood pressure, blood clots, and any major stresses or recent life changes.', ""Make a list of all medications, vitamins or supplements that you're taking."", 'Bring a family member or friend with you, if possible. Sometimes it can be difficult to understand and remember all the information received during an appointment. The person who goes with you may remember something that you missed or forgot.', 'Write down questions to ask your doctor.']"
5,Medication overuse headaches,https://www.mayoclinic.org/diseases-conditions/medication-overuse-headache/symptoms-causes/syc-20377083,"Medication overuse headaches or rebound headaches are caused by regular, long-term use of medication to treat headaches, such as migraines. Pain relievers offer relief for occasional headaches. But if you take them more than a couple of days a week, they may trigger medication overuse headaches.","['Occur every day or nearly every day, often waking you in the early morning', 'Improve with pain relief medication but then return as your medication wears off']",[]
6,"Mediterranean anemia, also known as
Thalassemia",https://www.mayoclinic.org/diseases-conditions/thalassemia/symptoms-causes/syc-20354995,"Thalassemia (thal-uh-SEE-me-uh) is an inherited blood disorder that causes your body to have less hemoglobin than normal. Hemoglobin enables red blood cells to carry oxygen. Thalassemia can cause anemia, leaving you fatigued.","['Fatigue', 'Weakness', 'Pale or yellowish skin', 'Facial bone deformities', 'Slow growth', 'Abdominal swelling', 'Dark urine']","[""Avoid excess iron. Unless your doctor recommends it, don't take vitamins or other supplements that contain iron."", ""Eat a healthy diet. Healthy eating can help you feel better and boost your energy. Your doctor might also recommend a folic acid supplement to help your body make new red blood cells.\nTo keep your bones healthy, make sure your diet contains enough calcium and vitamin D. Ask your doctor what the right amounts are for you and whether you need a supplement.\nAsk your doctor about taking other supplements, as well, such as folic acid. It's a B vitamin that helps build red blood cells."", ""Avoid infections. Wash your hands frequently and avoid sick people. This is especially important if you've had your spleen removed.\nYou'll also need an annual flu shot, as well as vaccines to prevent meningitis, pneumonia and hepatitis B. If you develop a fever or other signs and symptoms of an infection, see your doctor for treatment.""]"
7,Medulloblastoma,https://www.mayoclinic.org/diseases-conditions/medulloblastoma/cdc-20363524,,[],[]
8,"Megacolon, also known as
Hirschsprung's disease",https://www.mayoclinic.org/diseases-conditions/hirschsprungs-disease/symptoms-causes/syc-20351556,"Hirschsprung's (HIRSH-sproongz) disease is a condition that affects the large intestine (colon) and causes problems with passing stool. The condition is present at birth (congenital) as a result of missing nerve cells in the muscles of the baby's colon. Without these nerve cells stimulating gut muscles to help move contents through the colon, the contents can back up and cause blockages in the bowel.","['Swollen belly', 'Vomiting, including vomiting a green or brown substance', 'Constipation or gas, which might make a newborn fussy', 'Diarrhea', ""Delayed passage of meconium — a newborn's first bowel movement""]","[""Serve high-fiber foods. If your child eats solid foods, include high-fiber foods. Offer whole grains, fruits and vegetables and limit white bread and other low-fiber foods. Because a sudden increase in high-fiber foods can worsen constipation at first, add high-fiber foods to your child's diet slowly.\nIf your child isn't eating solid foods yet, ask the doctor about formulas that might help relieve constipation. Some infants might need a feeding tube for a while."", ""Increase fluids. Encourage your child to drink more water. If a portion or all of your child's colon was removed, your child may have trouble absorbing enough water. Drinking more water can help your child stay hydrated, which may help ease constipation."", 'Encourage physical activity. Daily aerobic activity helps promote regular bowel movements.', ""Laxatives (only as directed by your child's doctor). If your child doesn't respond to or can't tolerate increased fiber, water or physical activity, certain laxatives — medications to encourage bowel movements — might help relieve constipation. Ask the doctor whether you should give your child laxatives, how often you should do so, and about the risks and benefits.""]"
9,"Megaloblastic anemia, also known as
Vitamin deficiency anemia",https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Vitamin deficiency anemia is a lack of healthy red blood cells caused by lower than usual amounts of vitamin B-12 and folate.,"['Fatigue', 'Shortness of breath', 'Dizziness', 'Pale or yellowish skin', 'Irregular heartbeats', 'Weight loss', 'Numbness or tingling in the hands and feet', 'Muscle weakness', 'Personality changes', 'Unsteady movements', 'Mental confusion or forgetfulness']",[]
