,disease,link,overview,symptoms,remedies
0,Paraganglioma,https://www.mayoclinic.org/diseases-conditions/paraganglioma/cdc-20352970,,[],[]
1,"Paraneoplastic neurological disorder, also known as
Paraneoplastic syndromes of the nervous system",https://www.mayoclinic.org/diseases-conditions/paraneoplastic-syndromes/symptoms-causes/syc-20355687,"Paraneoplastic syndromes of the nervous system are a group of uncommon disorders that develop in some people who have cancer. Paraneoplastic syndromes can also affect other organ systems including hormones (endocrine), skin (dermatologic), blood (hematologic) and joints (rheumatologic).","['Difficulty walking', 'Difficulty maintaining balance', 'Loss of muscle coordination', 'Loss of muscle tone or weakness', 'Loss of fine motor skills, such as picking up objects', 'Difficulty swallowing', 'Slurred speech or stuttering', 'Memory loss and other thinking (cognitive) impairment', 'Vision problems', 'Sleep disturbances', 'Seizures', 'Hallucinations', 'Unusual involuntary movements']",[]
2,"Paraneoplastic neurological syndrome, also known as
Paraneoplastic syndromes of the nervous system",https://www.mayoclinic.org/diseases-conditions/paraneoplastic-syndromes/symptoms-causes/syc-20355687,"Paraneoplastic syndromes of the nervous system are a group of uncommon disorders that develop in some people who have cancer. Paraneoplastic syndromes can also affect other organ systems including hormones (endocrine), skin (dermatologic), blood (hematologic) and joints (rheumatologic).","['Difficulty walking', 'Difficulty maintaining balance', 'Loss of muscle coordination', 'Loss of muscle tone or weakness', 'Loss of fine motor skills, such as picking up objects', 'Difficulty swallowing', 'Slurred speech or stuttering', 'Memory loss and other thinking (cognitive) impairment', 'Vision problems', 'Sleep disturbances', 'Seizures', 'Hallucinations', 'Unusual involuntary movements']",[]
3,Paraneoplastic syndromes of the nervous system,https://www.mayoclinic.org/diseases-conditions/paraneoplastic-syndromes/symptoms-causes/syc-20355687,"Paraneoplastic syndromes of the nervous system are a group of uncommon disorders that develop in some people who have cancer. Paraneoplastic syndromes can also affect other organ systems including hormones (endocrine), skin (dermatologic), blood (hematologic) and joints (rheumatologic).","['Difficulty walking', 'Difficulty maintaining balance', 'Loss of muscle coordination', 'Loss of muscle tone or weakness', 'Loss of fine motor skills, such as picking up objects', 'Difficulty swallowing', 'Slurred speech or stuttering', 'Memory loss and other thinking (cognitive) impairment', 'Vision problems', 'Sleep disturbances', 'Seizures', 'Hallucinations', 'Unusual involuntary movements']",[]
4,Parkinson's disease,https://www.mayoclinic.org/diseases-conditions/parkinsons-disease/symptoms-causes/syc-20376055,"Parkinson's disease is a progressive disorder that affects the nervous system and the parts of the body controlled by the nerves. Symptoms start slowly. The first symptom may be a barely noticeable tremor in just one hand. Tremors are common, but the disorder may also cause stiffness or slowing of movement.","[""Tremor. A tremor, or rhythmic shaking, usually begins in a limb, often your hand or fingers. You may rub your thumb and forefinger back and forth. This is known as a pill-rolling tremor. Your hand may tremble when it's at rest. The shaking may decrease when you are performing tasks."", ""Slowed movement (bradykinesia). Over time, Parkinson's disease may slow your movement, making simple tasks difficult and time-consuming. Your steps may become shorter when you walk. It may be difficult to get out of a chair. You may drag or shuffle your feet as you try to walk."", 'Rigid muscles. Muscle stiffness may occur in any part of your body. The stiff muscles can be painful and limit your range of motion.', ""Impaired posture and balance. Your posture may become stooped. Or you may fall or have balance problems as a result of Parkinson's disease."", 'Loss of automatic movements. You may have a decreased ability to perform unconscious movements, including blinking, smiling or swinging your arms when you walk.', 'Speech changes. You may speak softly, quickly, slur or hesitate before talking. Your speech may be more of a monotone rather than have the usual speech patterns.', 'Writing changes. It may become hard to write, and your writing may appear small.']","['Try not to move too quickly.', ""Aim for your heel to strike the floor first when you're walking."", ""If you notice yourself shuffling, stop and check your posture. It's best to stand up straight."", 'Look in front of you, not directly down, while walking.']"
5,Parotid tumors,https://www.mayoclinic.org/diseases-conditions/parotid-tumor/cdc-20388269,,[],"['Brush your teeth several times each day. Use a soft-bristled toothbrush and gently brush your teeth several times each day. Tell your doctor if your mouth becomes too sensitive to tolerate gentle brushing.', 'Rinse your mouth with warm salt water after meals. Make a mild solution of warm water and salt. Rinse your mouth with this solution after each meal.', 'Keep your mouth moistened with water or sugarless candies. Drink water throughout the day to keep your mouth moistened. Also try sugarless gum or sugarless candies to stimulate your mouth to produce saliva.', 'Choose moist foods. Avoid dry foods. Moisten dry food with sauce, gravy, broth, butter or milk.', ""Avoid acidic or spicy foods and drinks. Choose foods and drinks that won't irritate your mouth. Avoid caffeinated and alcoholic beverages.""]"
6,"Partial anomalous pulmonary venous connection, also known as
Partial anomalous pulmonary venous return",https://www.mayoclinic.org/diseases-conditions/partial-anomalous-pulmonary-venous-return/cdc-20385691,,[],[]
7,Partial anomalous pulmonary venous return,https://www.mayoclinic.org/diseases-conditions/partial-anomalous-pulmonary-venous-return/cdc-20385691,,[],[]
8,Parvovirus infection,https://www.mayoclinic.org/diseases-conditions/parvovirus-infection/symptoms-causes/syc-20376085,"Parvovirus infection is a common and highly contagious childhood illness. It's sometimes called slapped-cheek disease because of the distinctive face rash that develops. Parvovirus infection has also been known as fifth disease because, historically, it was fifth in a list of common childhood illnesses characterized by a rash.","['Fever', 'Upset stomach', 'Headache', 'Runny nose']","['When and how you or your child was exposed to parvovirus', 'A detailed description of symptoms', 'Medical problems that run in your family', 'Medical problems you or your child has had in the past', 'All the drugs and supplements you or your child takes']"
9,Patellar tendinitis,https://www.mayoclinic.org/diseases-conditions/patellar-tendinitis/symptoms-causes/syc-20376113,"Patellar tendinitis is an injury to the tendon connecting your kneecap (patella) to your shinbone. The patellar tendon works with the muscles at the front of your thigh to extend your knee so that you can kick, run and jump.","['Continues or worsens', 'Interferes with your ability to perform routine daily activities', 'Is associated with swelling or redness about the joint']","['Pain relievers. Over-the-counter medications such as ibuprofen and naproxen sodium may provide short-term pain relief.', 'Avoid activity that causes pain. You may need to practice your sport less often or temporarily switch to a lower impact sport. Working through pain can further damage your patellar tendon.', 'Ice. Apply ice after activity that causes pain. Place ice in a plastic bag and wrap the bag in a towel. Or try an ice massage. Freeze water in a plastic foam cup and hold the cup as you apply the ice directly to your skin.']"
