disease,synonym_disease,,link,overview,symptoms,remedies,,,,,,,,,,,
acid reflux,gastroesophageal reflux disease,GERD,https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus.,"['A burning sensation in your chest (heartburn), usually after eating, which might be worse at night or while lying down', 'Backwash (regurgitation) of food or sour liquid', 'Upper abdominal or chest pain', 'Trouble swallowing (dysphagia)', 'Sensation of a lump in your throat']","['Maintain a healthy weight. Excess pounds put pressure on your abdomen, pushing up your stomach and causing acid to reflux into your esophagus.', ""Stop smoking. Smoking decreases the lower esophageal sphincter's ability to function properly."", ""Elevate the head of your bed. If you regularly experience heartburn while trying to sleep, place wood or cement blocks under the feet of your bed so that the head end is raised by 6 to 9 inches. If you can't elevate your bed, you can insert a wedge between your mattress and box spring to elevate your body from the waist up. Raising your head with additional pillows isn't effective."", 'Start on your left side. When you go to bed, start by lying on your left side to help make it less likely that you will have reflux.', ""Don't lie down after a meal. Wait at least three hours after eating before lying down or going to bed."", 'Eat food slowly and chew thoroughly. Put down your fork after every bite and pick it up again once you have chewed and swallowed that bite.', 'Avoid foods and drinks that trigger reflux. Common triggers include alcohol, chocolate, caffeine, fatty foods or peppermint.', 'Avoid tight-fitting clothing. Clothes that fit tightly around your waist put pressure on your abdomen and the lower esophageal sphincter.']",#REF!,,,,,,,,,,
infant acid reflux,infant reflux,,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,"Infant reflux, when a baby spits up, occurs when food moves back up from a baby's stomach. Reflux occurs in healthy infants multiple times a day. As long as your baby is healthy, content and growing well, reflux is not a cause for concern.","[""Isn't gaining weight"", 'Consistently spits up forcefully, causing stomach contents to shoot out of his or her mouth (projectile vomiting)', 'Spits up green or yellow fluid', 'Spits up blood or a material that looks like coffee grounds', 'Refuses food', 'Has blood in his or her stool', 'Has difficulty breathing or a chronic cough', 'Begins spitting up at age 6 months or older', 'Is unusually irritable after eating']","['Feed your baby in an upright position. Also hold your baby in a sitting position for 30 minutes after feeding, if possible. Gravity can help stomach contents stay where they belong. Be careful not to jostle or jiggle your baby while the food is settling.', ""Try smaller, more-frequent feedings. Feed your baby slightly less than usual if you're bottle-feeding, or cut back a little on nursing time."", ""Take time to burp your baby. Frequent burps during and after feeding can keep air from building up in your baby's stomach."", 'Put baby to sleep on his or her back. Most babies should be placed on their backs to sleep, even if they have reflux.']",,,,,,,,,,,
acne,blackheads,pimples,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages.","['Whiteheads (closed plugged pores)', 'Blackheads (open plugged pores)', 'Small red, tender bumps (papules)', 'Pimples (pustules), which are papules with pus at their tips', 'Large, solid, painful lumps under the skin (nodules)', 'Painful, pus-filled lumps under the skin (cystic lesions)']","[""Wash problem areas with a gentle cleanser. Twice a day, use your hands to wash your face with mild soap or a gentle cleanser (Cetaphil, Vanicream, others) and warm water. And be gentle if you're shaving affected skin.\nAvoid certain products, such as facial scrubs, astringents and masks. They tend to irritate the skin, which can worsen acne. Too much washing and scrubbing also can irritate the skin."", 'Try over-the-counter acne products to dry excess oil and promote peeling. Look for products containing benzoyl peroxide and adapalene as the active ingredients. You might also try products containing salicylic acid, glycolic acid or alpha hydroxy acids. It may take a few weeks of using a product before you see any improvement.\nCreams are less irritating than gels or ointments. Nonprescription acne medications may cause initial side effects — such as redness, dryness and scaling — that often improve after the first month of using them.', 'Avoid irritants. Oily or greasy cosmetics, sunscreens, hairstyling products or acne concealers can worsen acne. Instead, use products labeled water-based or noncomedogenic, which means they are less likely to cause acne.', 'Protect your skin from the sun. For some people, the sun worsens the discoloration that sometimes lingers after the acne has cleared. And some acne medications make you more susceptible to sunburn. Check with your doctor to see if your medication is one of these. If it is, stay out of the sun as much as possible. Regularly use a nonoily (noncomedogenic) moisturizer that includes a sunscreen.', 'Avoid friction or pressure on your skin. Protect your acne-prone skin from contact with items such as phones, helmets, tight collars or straps, and backpacks.', 'Avoid touching or picking acne-prone areas. Doing so can trigger more acne or lead to infection or scarring.', 'Shower after strenuous activities. Oil and sweat on your skin can lead to breakouts.']",,,,,,,,,,,
acne inversa,hidradenitis suppurativa,,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,"Hidradenitis suppurativa (hi-drad-uh-NIE-tis sup-yoo-ruh-TIE-vuh) is a condition that causes small, painful lumps to form under the skin. The lumps usually develop in areas where your skin rubs together, such as the armpits, groin, buttocks and breasts. The lumps heal slowly, recur, and can lead to tunnels under the skin and scarring.","['Blackheads. Blackheads appear in small pitted areas of skin, often appearing in pairs.', 'Painful pea-sized lumps. The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.', 'Leaking bumps or sores. Some bumps or sores get bigger, break open and drain pus with an odor.', 'Tunnels. Over time, tunnels might form under the skin, connecting the lumps. These wounds heal very slowly, if at all, and drain blood and pus.']","[""Follow a daily skin care routine. Gently wash your body with a nonsoap cleanser. It can sometimes be helpful to use an antiseptic wash such as chlorhexidine 4% or benzoyl peroxide wash when showering. First try it once a week, then increase usage up to once a day if your skin tolerates it well. Pat dry.\nWhen washing, avoid using washcloths, loofahs or other such items on affected areas, as they can irritate skin. Don't squeeze pimples and sores. And avoid shaving or using depilatory creams."", 'Manage your pain. Gently applying a wet, warm compress can help reduce swelling and ease pain. Ask your doctor about an appropriate pain reliever and how to care for your wounds at home.', ""Try to keep or achieve a healthy weight and stay active. Not being at a healthy weight can worsen the symptoms of hidradenitis suppurativa. Talk with your doctor or a dietitian to develop a plan. Try to find activities that don't irritate your skin."", 'Consider altering your diet. Hidradenitis symptoms might be worsened by diets that include dairy, red meat and foods with a high glycemic index. If your diet includes these foods, talk with a dietitian about the benefits of eliminating them.', 'Quit smoking. If you smoke, try to quit. Smoking cessation has the potential to ease the symptoms of hidradenitis suppurativa.']",,,,,,,,,,,
acute sinusitis,,,https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671,Acute sinusitis causes the spaces inside your nose (sinuses) to become inflamed and swollen. This interferes with drainage and causes mucus to build up.,"['Thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage)', 'Blocked or stuffy nose (congestion) causing difficulty breathing through your nose', 'Pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over']","['Rest. This will help your body fight infection and speed recovery.', 'Drink fluids. Continue to drink plenty of fluids.', 'Use a warm compress. A warm compress on your nose and forehead may help relieve the pressure in your sinuses.', 'Moisten your sinus cavities. Drape a towel over your head as you breathe in the vapor from a bowl of hot water. Keep the vapor directed toward your face. Or take a hot shower, breathing in the warm, moist air. This will help ease pain and help mucus drain.', 'Rinse your nasal passages. Use a specially designed squeeze bottle (Sinus Rinse, others) or neti pot. This home remedy, called nasal lavage, can help clear your sinuses.']",,,,,,,,,,,
allergies,,,https://www.mayoclinic.org/diseases-conditions/allergies/symptoms-causes/syc-20351497,"Allergies occur when your immune system reacts to a foreign substance — such as pollen, bee venom or pet dander — or a food that doesn't cause a reaction in most people.","['Sneezing', 'Itching of the nose, eyes or roof of the mouth', 'Runny, stuffy nose', 'Watery, red or swollen eyes (conjunctivitis)']","['Sinus congestion and hay fever symptoms. These often improve with saline nasal irrigation — rinsing out the sinuses with a salt and water solution. You can use a neti pot or a specially designed squeeze bottle to flush out thickened mucus and irritants from your nose. However, improper use of a neti pot or other device can lead to infection.', 'Household airborne allergy symptoms. Reduce your exposure to dust mites or pet dander by frequently washing bedding and stuffed toys in hot water, maintaining low humidity, regularly using a vacuum with a fine filter such as a high-efficiency particulate air (HEPA) filter and replacing carpeting with hard flooring.', 'Mold allergy symptoms. Reduce moisture in damp areas, such as your bath and kitchen, by using ventilation fans and dehumidifiers. Fix leaks inside and outside your home.']",,,,,,,,,,,
alopecia,hair loss,,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,"Hair loss (alopecia) can affect just your scalp or your entire body, and it can be temporary or permanent. It can be the result of heredity, hormonal changes, medical conditions or a normal part of aging. Anyone can lose hair on their head, but it's more common in men.","['Gradual thinning on top of head. This is the most common type of hair loss, affecting people as they age. In men, hair often begins to recede at the hairline on the forehead. Women typically have a broadening of the part in their hair. An increasingly common hair loss pattern in older women is a receding hairline (frontal fibrosing alopecia).', 'Circular or patchy bald spots. Some people lose hair in circular or patchy bald spots on the scalp, beard or eyebrows. Your skin may become itchy or painful before the hair falls out.', 'Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning but is temporary.', 'Full-body hair loss. Some conditions and medical treatments, such as chemotherapy for cancer, can result in the loss of hair all over your body. The hair usually grows back.', 'Patches of scaling that spread over the scalp. This is a sign of ringworm. It may be accompanied by broken hair, redness, swelling and, at times, oozing.']","['List key personal information, including any major stresses or recent life changes.', ""Make a list of all medications, vitamins and supplements that you're taking."", 'List questions to ask your doctor.']",,,,,,,,,,,
anemia,,,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. Having anemia, also referred to as low hemoglobin, can make you feel tired and weak.","['Fatigue', 'Weakness', 'Pale or yellowish skin', 'Irregular heartbeats', 'Shortness of breath', 'Dizziness or lightheadedness', 'Chest pain', 'Cold hands and feet', 'Headaches']",[],,,,,,,,,,,
anxiety disorder,generalized anxiety disorder,,https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/symptoms-causes/syc-20360803,"It's normal to feel anxious from time to time, especially if your life is stressful. However, excessive, ongoing anxiety and worry that are difficult to control and interfere with day-to-day activities may be a sign of generalized anxiety disorder.","['Persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the events', 'Overthinking plans and solutions to all possible worst-case outcomes', ""Perceiving situations and events as threatening, even when they aren't"", 'Difficulty handling uncertainty', 'Indecisiveness and fear of making the wrong decision', 'Inability to set aside or let go of a worry', 'Inability to relax, feeling restless, and feeling keyed up or on edge', 'Difficulty concentrating, or the feeling that your mind ""goes blank""']","[""Keep physically active. Develop a routine so that you're physically active most days of the week. Exercise is a powerful stress reducer. It may improve your mood and help you stay healthy. Start out slowly and gradually increase the amount and intensity of your activities."", ""Make sleep a priority. Do what you can to make sure you're getting enough sleep to feel rested. If you aren't sleeping well, see your doctor."", 'Use relaxation techniques. Visualization techniques, meditation and yoga are examples of relaxation techniques that can ease anxiety.', 'Eat healthy. Healthy eating — such as focusing on vegetables, fruits, whole grains and fish — may be linked to reduced anxiety, but more research is needed.', 'Avoid alcohol and recreational drugs. These substances can worsen anxiety.', 'Quit smoking and cut back or quit drinking coffee. Both nicotine and caffeine can worsen anxiety.']",,,,,,,,,,,
anxiety disorder,social anxiety disorder,social phobia,https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561,"It's normal to feel nervous in some social situations. For example, going on a date or giving a presentation may cause that feeling of butterflies in your stomach. But in social anxiety disorder, also called social phobia, everyday interactions cause significant anxiety, self-consciousness and embarrassment because you fear being scrutinized or judged negatively by others.","['Fear of situations in which you may be judged negatively', 'Worry about embarrassing or humiliating yourself', 'Intense fear of interacting or talking with strangers', 'Fear that others will notice that you look anxious', 'Fear of physical symptoms that may cause you embarrassment, such as blushing, sweating, trembling or having a shaky voice', 'Avoidance of doing things or speaking to people out of fear of embarrassment', 'Avoidance of situations where you might be the center of attention', 'Anxiety in anticipation of a feared activity or event', 'Intense fear or anxiety during social situations', 'Analysis of your performance and identification of flaws in your interactions after a social situation', 'Expectation of the worst possible consequences from a negative experience during a social situation']","['Learn stress-reduction skills.', 'Get physical exercise or be physically active on a regular basis.', 'Get enough sleep.', 'Eat a healthy, well-balanced diet.', 'Avoid alcohol.', 'Limit or avoid caffeine.', 'Participate in social situations by reaching out to people with whom you feel comfortable.']",,,,,,,,,,,
